ext_id,id,before_on_ramp,after_on_ramp,before_off_ramp,after_off_ramp
QEWDE0010DES,807787,-1,-1,-1,-1
QEWDE0020DES,807789,-1,-1,-1,-1
QEWDE0030DES,807791,-1,-1,-1,0.27276602732177935
QEWDE0040DES,807793,-1,125.78284147926797,-1,-1
QEWDE0050DES,807795,-1,-1,-1,-1
QEWDE0060DES,807797,-1,-1,-1,144.27364595042388
QEWDE0070DES,807799,-1,-1,-1,-1
QEWDE0080DES,807801,-1,-1,-1,-1
QEWDE0090DES,807803,-1,-1,-1,67.38503409177753
QEWDE0100DES,807805,170.53786741606564,-1,-1,-1
QEWDE0110DES,807807,-1,-1,-1,-1
QEWDE0120DES,807809,-1,-1,-1,112.49830687931916
QEWDE0130DES,807811,-1,-1,-1,-1
QEWDE0140DES,807813,-1,183.82703612996374,-1,-1
QEWDE0150DES,807815,-1,-1,-1,-1
QEWDE0170DES,807817,184.29644539640935,-1,-1,190.87354265405168
QEWDE0180DES,807819,-1,-1,-1,-1
QEWDE0190DES,807821,-1,-1,-1,182.8369293225585
QEWDE0200DES,807823,-1,110.5819564643258,-1,-1
QEWDE0210DES,807825,-1,-1,-1,-1
QEWDE0220DES,807827,-1,-1,-1,-1
QEWDE0230DES,807829,-1,-1,-1,64.60047149658203
QEWDE0240DES,807831,134.80159896892928,-1,-1,-1
QEWDE0250DES,807833,-1,-1,-1,-1
QEWDE0260DES,807835,-1,-1,-1,91.67299745435827
QEWDE0270DES,807837,-1,83.34803009033203,-1,-1
QEWDE0280DES,807839,-1,-1,-1,-1
QEWDE0290DES,807841,-1,-1,-1,-1
QEWDE0300DES,807843,-1,-1,-1,-1
QEWDE0310DES,807845,-1,-1,-1,-1
QEWDE0320DES,807847,-1,-1,-1,-1
QEWDE0330DES,807849,-1,-1,-1,-1
QEWDE0340DES,807851,-1,-1,-1,-1
QEWDE0350DES,807853,-1,-1,-1,-1
QEWDE0360DES,807855,-1,-1,-1,-1
QEWDE0370DES,807857,178.00966950261505,-1,-1,-1
QEWDE0380DES,807859,175.5810748398361,-1,-1,-1
QEWDE0390DES,807861,-1,-1,-1,-1
QEWDE0400DES,807863,-1,-1,-1,-1
QEWDE0410DES,807865,-1,-1,-1,-1
QEWDE0420DES,807867,-1,-1,-1,-1
QEWDE0430DES,807869,-1,-1,-1,42.974059684303825
QEWDE0440DES,807871,42.54853567979467,173.28972476566184,-1,-1
QEWDE0450DES,807873,-1,-1,-1,-1
QEWDE0460DES,807875,-1,-1,-1,-1
QEWDE0470DES,807877,137.06590849709187,-1,-1,-1
QEWDE0480DES,807879,-1,-1,-1,-1
QEWDE0490DES,807881,-1,-1,-1,-1
QEWDE0500DES,807883,-1,-1,-1,-1
QEWDE0510DES,807885,-1,-1,-1,-1
QEWDE0520DES,807887,-1,-1,-1,-1
QEWDE0530DES,807889,111.78019861604616,-1,-1,-1
QEWDE0540DES,807891,-1,-1,-1,-1
QEWDE0550DES,807893,-1,-1,-1,92.79714315661909
